	Sample ID	Study	Project ID	Condition ID	Strain Description	Strain	Base Media	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Antibiotic	Culture Type	Evolved Sample	Isolate Type	Sequencing Machine	Additional Details	DOI	GEO	Simple_sample_id	Temperature (C)	pH	Growth Rate (1/hr)	Alignment	Replicate #	Doubling_time
220	ytf__delydcI_ph8__1	yTF	ytf	delydcI_ph8	Escherichia coli K-12 MG1655 del_ydcI	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delydcI_ph8	37	8.5	0.52	95.325	2	1.332975347230664
222	ytf__delyddM__1	yTF	ytf	delyddM	Escherichia coli K-12 MG1655 del_yddM	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delyddM	37	7.0	0.65	95.245	2	1.0663802777845313
224	ytf__delyheO__1	yTF	ytf	delyheO	Escherichia coli K-12 MG1655 del_yheO	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delyheO	37	7.0	0.655	95.11	2	1.0582399703205272
228	fps__fps_thrA_ale1__1	False Positives	fps	fps_thrA_ale1	Escherichia coli FPS thrA.1.5.1	BW25113	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	NextSeq 550		doi.org/10.1186/s12918-018-0653-z	GSE117303	fps__fps_thrA_ale1	37	7.0	0.54	87.38	2	1.2836058899258245
230	fps__fps_thrA_ale2__1	False Positives	fps	fps_thrA_ale2	Escherichia coli FPS thrA.2.1.0	BW25113	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	NextSeq 550		doi.org/10.1186/s12918-018-0653-z	GSE117303	fps__fps_thrA_ale2	37	7.0	0.52	88.41999999999999	2	1.332975347230664
232	fps__fps_serB_ale1__1	False Positives	fps	fps_serB_ale1	Escherichia coli FPS serB.1.5.1	BW25113	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	NextSeq 550		doi.org/10.1186/s12918-018-0653-z	GSE117303	fps__fps_serB_ale1	37	7.0	0.5	87.92	2	1.3862943611198906
234	fps__fps_serB_ale4__1	False Positives	fps	fps_serB_ale4	Escherichia coli FPS serB.4.1.0	BW25113	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	NextSeq 550		doi.org/10.1186/s12918-018-0653-z	GSE117303	fps__fps_serB_ale4	37	7.0	0.5	89.32	2	1.3862943611198906
236	fps__fps_ptsI_ale1__1	False Positives	fps	fps_ptsI_ale1	Escherichia coli FPS ptsI.1.5.1	BW25113	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	NextSeq 550		doi.org/10.1186/s12918-018-0653-z	GSE117303	fps__fps_ptsI_ale1	37	7.0	0.41	86.205	2	1.6906028794145007
238	fps__fps_ptsI_ale3__1	False Positives	fps	fps_ptsI_ale3	Escherichia coli FPS ptsI.3.1.0	BW25113	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	NextSeq 550		doi.org/10.1186/s12918-018-0653-z	GSE117303	fps__fps_ptsI_ale3	37	7.0	0.39	89.245	2	1.7773004629742186
240	pal__lyx_ale2_f6__1	Enzyme Promiscuity	pal	lyx_ale2_f6	Escherichia coli PAL.2.6.1	MG1655	M9	D-lyxose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Midpoint	Clonal	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__lyx_ale2_f6	37	7.0	0.25	97.44	1	2.772588722239781
245	pal__5drib_ale10_f18__1	Enzyme Promiscuity	pal	5drib_ale10_f18	Escherichia coli PAL.10.18.1	MG1655	M9	D-2-deoxyribose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Midpoint	Clonal	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__5drib_ale10_f18	37	7.0	0.3	98.19	2	2.3104906018664844
247	pal__5drib_ale10__1	Enzyme Promiscuity	pal	5drib_ale10	Escherichia coli PAL.10.118.0	MG1655	M9	D-2-deoxyribose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__5drib_ale10	37	7.0	0.43	97.36	1	1.61197018734871
248	pal__arab_ale14_f9__1	Enzyme Promiscuity	pal	arab_ale14_f9	Escherichia coli PAL.14.9.1	MG1655	M9	D-arabinose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Midpoint	Clonal	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__arab_ale14_f9	37	7.0	0.27	97.53	2	2.567211779851649
250	pal__arab_ale14__1	Enzyme Promiscuity	pal	arab_ale14	Escherichia coli PAL.14.78.0	MG1655	M9	D-arabinose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__arab_ale14	37	7.0	0.42	97.755	2	1.6503504299046317
252	pal__arab_ale16__1	Enzyme Promiscuity	pal	arab_ale16	Escherichia coli PAL.16.70.0	MG1655	M9	D-arabinose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__arab_ale16	37	7.0	0.56	98.12	2	1.2377628224284736
254	pal__tartr_ale26_f10__1	Enzyme Promiscuity	pal	tartr_ale26_f10	Escherichia coli PAL.26.10.1	MG1655	M9	m-tartrate(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Midpoint	Clonal	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__tartr_ale26_f10	37	7.0	0.16	98.12	2	4.332169878499658
256	pal__tartr_ale26__1	Enzyme Promiscuity	pal	tartr_ale26	Escherichia coli PAL.26.86.0	MG1655	M9	m-tartrate(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__tartr_ale26	37	7.0	0.28	97.41499999999999	2	2.475525644856947
258	pal__tartr_ale28_f10__1	Enzyme Promiscuity	pal	tartr_ale28_f10	Escherichia coli PAL.28.10.1	MG1655	M9	m-tartrate(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Midpoint	Clonal	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__tartr_ale28_f10	37	7.0	0.22	97.65	2	3.150669002545206
260	pal__tartr_ale28__1	Enzyme Promiscuity	pal	tartr_ale28	Escherichia coli PAL.28.88.0	MG1655	M9	m-tartrate(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Population	HiSeq 2500		doi.org/10.1101/310946	GSE114358	pal__tartr_ale28	37	7.0	0.41	98.08500000000001	2	1.6906028794145007
266	efeU__menFentC_ale39__1	Pseudogene Repair	efeU	menFentC_ale39	Escherichia coli EEP_menF_entC.39.91.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 4000		doi.org/10.1038/s41564-018-0340-2	GSE122779	efeU__menFentC_ale39	37	7.0	0.98	93.765	2	0.7072930413876993
268	efeU__menFentC_ale29__1	Pseudogene Repair	efeU	menFentC_ale29	Escherichia coli EEP_menF_entC.29.82.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	FeCl3 (20 uM) + Na-citrate (10 mM)		Batch	Endpoint	Clonal	HiSeq 4000		doi.org/10.1038/s41564-018-0340-2	GSE122779	efeU__menFentC_ale29	37	7.0	0.9	93.22999999999999	2	0.7701635339554948
270	efeU__menFentC_ale30__1	Pseudogene Repair	efeU	menFentC_ale30	Escherichia coli EEP_menF_entC.30.83.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	FeCl3 (20 uM) + Na-citrate (10 mM)		Batch	Endpoint	Clonal	HiSeq 4000		doi.org/10.1038/s41564-018-0340-2	GSE122779	efeU__menFentC_ale30	37	7.0	0.95	93.38499999999999	2	0.729628611115732
272	efeU__menFentCubiC_ale36__1	Pseudogene Repair	efeU	menFentCubiC_ale36	Escherichia coli EEP_menF_entC_ubiC.36.86.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 4000		doi.org/10.1038/s41564-018-0340-2	GSE122779	efeU__menFentCubiC_ale36	37	7.0	0.58	93.17	2	1.1950813457930092
274	efeU__menFentCubiC_ale37__1	Pseudogene Repair	efeU	menFentCubiC_ale37	Escherichia coli EEP_menF_entC_ubiC.37.25.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 4000		doi.org/10.1038/s41564-018-0340-2	GSE122779	efeU__menFentCubiC_ale37	37	7.0	0.46	94.755	2	1.5068416968694462
276	efeU__menFentCubiC_ale38__1	Pseudogene Repair	efeU	menFentCubiC_ale38	Escherichia coli EEP_menF_entC_ubiC.38.28.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 4000		doi.org/10.1038/s41564-018-0340-2	GSE122779	efeU__menFentCubiC_ale38	37	7.0	0.58	95.295	2	1.1950813457930092
